Data_Type,Dataset,Imbalance,Pos_Ratio,Algorithm,Method,F1,Accuracy
Non-Separable,HighCurve,70-30,0.7,OGC,Online,0.9789360942520529,0.9705
Non-Separable,HighCurve,70-30,0.7,OGC,Kernel,0.9753483386923901,0.9655
Non-Separable,HighCurve,70-30,0.7,SCW,Online,0.9875222816399287,0.9825
Non-Separable,HighCurve,70-30,0.7,SCW,Kernel,0.9523454951600894,0.936
Non-Separable,HighCurve,70-30,0.7,RDA,Online,0.9756446991404012,0.966
Non-Separable,HighCurve,70-30,0.7,RDA,Kernel,0.7441549766199065,0.617
Non-Separable,HighCurve,70-30,0.7,AdaRDA,Online,0.8585147247119078,0.779
Non-Separable,HighCurve,70-30,0.7,AdaRDA,Kernel,0.707703130495955,0.5845
Non-Separable,HighCurve,90-10,0.9,PA,Online,0.9868088689306764,0.9765
Non-Separable,HighCurve,90-10,0.9,PA,Kernel,0.9919466814773674,0.9855
Non-Separable,HighCurve,90-10,0.9,Perceptron,Online,0.9730343457280727,0.9525
Non-Separable,HighCurve,90-10,0.9,Perceptron,Kernel,0.9919466814773674,0.9855
Non-Separable,HighCurve,90-10,0.9,AROW,Online,0.9904868494683827,0.983
Non-Separable,HighCurve,90-10,0.9,AROW,Kernel,0.987825124515772,0.978
Non-Separable,HighCurve,90-10,0.9,OGC,Online,0.9902207320480582,0.9825
Non-Separable,HighCurve,90-10,0.9,OGC,Kernel,0.9905607995558023,0.983
Non-Separable,HighCurve,90-10,0.9,SCW,Online,0.994706046252438,0.9905
Non-Separable,HighCurve,90-10,0.9,SCW,Kernel,0.9705802968960864,0.9455
Non-Separable,HighCurve,90-10,0.9,RDA,Online,0.9689723882721321,0.9455
Non-Separable,HighCurve,90-10,0.9,RDA,Kernel,0.9623095429029671,0.9295
Non-Separable,HighCurve,90-10,0.9,AdaRDA,Online,0.9432541980312681,0.902
Non-Separable,HighCurve,90-10,0.9,AdaRDA,Kernel,0.9607686148919136,0.9265
Non-Separable,Moons,50-50,0.5,PA,Online,0.5204597701149425,0.4785
